iter	Passed	Remaining
1400	3790	267
1401	3791	265
1402	3792	262
1403	3793	259
1404	3793	256
1405	3794	253
1406	3795	250
1407	3796	248
1408	3797	245
1409	3798	242
1410	3798	239
1411	3799	236
1412	3799	233
1413	3800	231
1414	3801	228
1415	3802	225
1416	3802	222
1417	3803	219
1418	3803	217
1419	3804	214
1420	3805	211
1421	3805	208
1422	3807	206
1423	3808	203
1424	3808	200
1425	3809	197
1426	3810	194
1427	3810	192
1428	3811	189
1429	3811	186
1430	3812	183
1431	3812	181
1432	3813	178
1433	3813	175
1434	3814	172
1435	3815	170
1436	3816	167
1437	3817	164
1438	3817	161
1439	3818	159
1440	3819	156
1441	3819	153
1442	3820	150
1443	3821	148
1444	3821	145
1445	3822	142
1446	3822	140
1447	3823	137
1448	3824	134
1449	3824	131
1450	3825	129
1451	3826	126
1452	3827	123
1453	3827	121
1454	3828	118
1455	3829	115
1456	3830	113
1457	3831	110
1458	3832	107
1459	3833	105
1460	3833	102
1461	3834	99
1462	3834	96
1463	3835	94
1464	3835	91
1465	3836	88
1466	3837	86
1467	3838	83
1468	3839	81
1469	3840	78
1470	3843	75
1471	3843	73
1472	3844	70
1473	3845	67
1474	3845	65
1475	3846	62
1476	3847	59
1477	3847	57
1478	3848	54
1479	3848	52
1480	3849	49
1481	3850	46
1482	3851	44
1483	3851	41
1484	3852	38
1485	3853	36
1486	3854	33
1487	3857	31
1488	3857	28
1489	3858	25
1490	3859	23
1491	3859	20
1492	3860	18
1493	3861	15
1494	3862	12
1495	3863	10
1496	3863	7
1497	3864	5
1498	3865	2
1499	3865	0
603	16
1493	3604	14
1494	3606	12
1495	3607	9
1496	3608	7
1497	3609	4
1498	3610	2
1499	3611	0
